Date,Type,Transaction ID,Received Quantity,Received Currency,Received Cost Basis (USD),Received Wallet,Received Address,Received Tag,Received Comment,Sent Quantity,Sent Currency,Sent Cost Basis (USD),Sent Wallet,Sent Address,Sent Tag,Sent Comment,Fee Amount,Fee Currency,Realized Return (USD),Ignored
06/08/2022 20:08:58,Trade,0xb6b9bccdfeba20ce7c1610e1210b6e3eedade9634ee1aeaff9b2c0c9b1d72155,,,...,,,,,0.00000000,ETH,...,Ethereum Wallet ...00880A - ETH,0x77693Ff03FD85F9181E5e577b8CABfdDaC00880A,,,0.04207124,ETH,...,
06/08/2022 20:57:00,Send,bb7afa7eeffe4f55eecf9ea5be429e6d9181a23a32f5a144a25b7a060ec36dad,,,...,,,,,0.00000000,ETH,...,Ethereum Wallet ...00880A - ETH,0x77693Ff03FD85F9181E5e577b8CABfdDaC00880A,,,0.00368550,ETH,...,
06/08/2022 21:21:07,Send,42ee7e614b01fa37f4a609ae59928bb56c64815c53ba4fbcab4c1b1b0594be1c,,,...,,,,,0.00000000,ETH,...,Ethereum Wallet ...00880A - ETH,0x77693Ff03FD85F9181E5e577b8CABfdDaC00880A,,,0.00486680,ETH,...,
06/08/2022 21:22:41,Trade,0x3c9d7b3f3fc0f5fd157ae9bf23055ffcc6e0bb53b0607f23e614edcaaceb21af,103.57192443,ETH,...,Ethereum Wallet ...00880A - ETH,0x77693Ff03FD85F9181E5e577b8CABfdDaC00880A,,,,,...,,,,,,,...,
06/08/2022 21:22:41,Trade,0x3c9d7b3f3fc0f5fd157ae9bf23055ffcc6e0bb53b0607f23e614edcaaceb21af,,,...,,,,,0.00000000,ETH,...,Ethereum Wallet ...00880A - ETH,0x77693Ff03FD85F9181E5e577b8CABfdDaC00880A,,,0.00895197,ETH,...,
06/08/2022 21:26:58,Trade,0xc743fac7263c0c2af96056e06e0bf7d975de7419cbc3a61598920104b8c25a1c,,,...,,,,,3.25000000,ETH,...,Ethereum Wallet ...00880A - ETH,0x77693Ff03FD85F9181E5e577b8CABfdDaC00880A,,,0.01537947,ETH,...,
06/08/2022 21:32:00,Trade,0x624955237069a9e319b4e78bb1d999356f4c35ea0c60b809a5bf91df624b7993,,,...,,,,,5.32000000,ETH,...,Ethereum Wallet ...00880A - ETH,0x77693Ff03FD85F9181E5e577b8CABfdDaC00880A,,,0.02449443,ETH,...,
06/08/2022 21:37:04,Send,83e9ea773ebbd503bcd5caf8e3b708201197f4ea181313617fd5272e64037ee1,,,...,,,,,0.00000000,ETH,...,Ethereum Wallet ...00880A - ETH,0x77693Ff03FD85F9181E5e577b8CABfdDaC00880A,,,0.00376544,ETH,...,
06/08/2022 21:45:27,Trade,0x87e04e5f0f71b2b8c209ab3052a61b66c7d85fd5cc43acd9548257d2dec64ad3,,,...,,,,,6.66505010,ETH,...,Ethereum Wallet ...00880A - ETH,0x77693Ff03FD85F9181E5e577b8CABfdDaC00880A,,,0.01337577,ETH,...,
06/08/2022 21:48:54,Send,1a41e17ab664775e3e0c20456e14504d92413826fc4d51a025218c03f1ae3541,,,...,,,,,0.00000000,ETH,...,Ethereum Wallet ...00880A - ETH,0x77693Ff03FD85F9181E5e577b8CABfdDaC00880A,,,0.00270887,ETH,...,
06/08/2022 21:51:35,Trade,0x2ef2386616fdf7a3808e0054b337ec98ea91c1d15b3cb764bbc8a0cd5f4fd175,,,...,,,,,0.00000000,ETH,...,Ethereum Wallet ...00880A - ETH,0x77693Ff03FD85F9181E5e577b8CABfdDaC00880A,,,0.01829136,ETH,...,
06/11/2022 01:24:46,Receive,0x11c919b2ff56b8d3ac774a1ae2f9b79e30ca25fe948ba09fdf39ce52f8368852,3894.86980280,HOP,...,Ethereum Wallet ...00880A - ETH,0x77693Ff03FD85F9181E5e577b8CABfdDaC00880A,,,,,...,,,,,0.00380207,ETH,...,
06/11/2022 17:37:14,Receive,0x9e517188739869063afbb3383b97fbc5e501a873f5eaa0e9d9519c9691d83a97,20121.65915800,USDC,...,Ethereum Wallet ...00880A - ETH,0x77693Ff03FD85F9181E5e577b8CABfdDaC00880A,,,,,...,,,,,0.00845181,ETH,...,
06/11/2022 21:14:26,Receive,0x7f5ae96a4fb999ebd88f23e7049ae1c9b615e2aba86e430de01be31a55906072,,,...,,,,,0.00000000,ETH,...,Ethereum Wallet ...00880A - ETH,0x77693Ff03FD85F9181E5e577b8CABfdDaC00880A,,,0.00487592,ETH,...,
06/11/2022 21:14:26,Trade,0x66f0fb1102176d8e7ef2e2514d02ba024d5a65135a25eae7c287c4ab7dbdeef1,,,...,,,,,0.00000000,ETH,...,Ethereum Wallet ...00880A - ETH,0x77693Ff03FD85F9181E5e577b8CABfdDaC00880A,,,0.00742180,ETH,...,
06/11/2022 21:21:29,Trade,0x7dd9dadeba1673039517c65c1a12fa5c7b140ed3c46e24620e93acfe5116f1d0,,,...,,,,,0.00000000,ETH,...,Ethereum Wallet ...00880A - ETH,0x77693Ff03FD85F9181E5e577b8CABfdDaC00880A,,,0.00530206,ETH,...,
06/12/2022 06:08:31,Trade,0x28f3414b12b010485fe838341a1b3b5416ae525ce768340fd8b529736ad3d3ff,,,...,,,,,0.00000000,ETH,...,Ethereum Wallet ...00880A - ETH,0x77693Ff03FD85F9181E5e577b8CABfdDaC00880A,,,0.00846718,ETH,...,
06/12/2022 06:14:19,Trade,0x6c38022884b2680e224fee2885d479ddd01100a19b14dd94a9a07dd13b1aa8be,,,...,,,,,0.00000000,ETH,...,Ethereum Wallet ...00880A - ETH,0x77693Ff03FD85F9181E5e577b8CABfdDaC00880A,,,0.00758417,ETH,...,
06/12/2022 06:16:05,Send,0x269fa0e22509b500aa2b6ebcc52de8cdcfae323a703bce1a19331157ab211a4c,,,...,,,,,0.00000000,ETH,...,Ethereum Wallet ...00880A - ETH,0x77693Ff03FD85F9181E5e577b8CABfdDaC00880A,,,0.00666680,ETH,...,
06/14/2022 07:49:44,Receive,e388ac13e0265a1030d92e2910a5f4e8598dfca669428ac9d09ddb63e8d3631c,800.00000000,ETH,...,Ethereum Wallet ...00880A - ETH,0x77693Ff03FD85F9181E5e577b8CABfdDaC00880A,,,,,...,,,,,,,...,
06/14/2022 07:51:45,Trade,0x1321538f91bd63a1eabd1911893a7cc33da7919d78010c70a25378ee012042d1,,,...,,,,,800.00000000,ETH,...,Ethereum Wallet ...00880A - ETH,0x77693Ff03FD85F9181E5e577b8CABfdDaC00880A,,,0.00471726,ETH,...,
06/14/2022 07:55:28,Send,2bf4a7def2ce97bac0683e883b7c467c4856771c2bb879f04ae6e35ef2d614b0,,,...,,,,,0.00000000,ETH,...,Ethereum Wallet ...00880A - ETH,0x77693Ff03FD85F9181E5e577b8CABfdDaC00880A,,,0.00279238,ETH,...,
06/14/2022 08:02:50,Trade,0xdacb8d6bdd2cc299e402115b01650534a19e049194d69b5d618f06054b28d2d3,800.00000000,ETH,...,Ethereum Wallet ...00880A - ETH,0x77693Ff03FD85F9181E5e577b8CABfdDaC00880A,,,,,...,,,,,,,...,
06/14/2022 08:02:50,Trade,0xdacb8d6bdd2cc299e402115b01650534a19e049194d69b5d618f06054b28d2d3,,,...,,,,,0.00000000,ETH,...,Ethereum Wallet ...00880A - ETH,0x77693Ff03FD85F9181E5e577b8CABfdDaC00880A,,,0.01153331,ETH,...,
06/14/2022 08:05:15,Trade,0x30b441da3c75ded0653a2366b6694576571ac0f465a4dc9f367efe7bad520d75,,,...,,,,,800.00000000,ETH,...,Ethereum Wallet ...00880A - ETH,0x77693Ff03FD85F9181E5e577b8CABfdDaC00880A,,,0.00470748,ETH,...,
06/14/2022 08:07:02,Receive,0xd0cd605d1889921466dde5c7173442bce107e0b215a894ae6b207e39bbdcb245,897000.00000000,USDT,...,Ethereum Wallet ...00880A - ETH,0x77693Ff03FD85F9181E5e577b8CABfdDaC00880A,,,,,...,,,,,0.00959089,ETH,...,
